TARGET_ID	INDIVIDUALS	STRATA	MISSING_PROP	HETEROZYGOSITY
2046	BMB-2046	BMB	0.229715	0.092416
2048	BMB-2048	BMB	0.089663	0.118155
2053	BMB-2053	BMB	0.274302	0.137638
2054	BMB-2054	BMB	0.234446	0.122369
2055	BMB-2055	BMB	0.078818	0.124661
2059	BMB-2059	BMB	0.063063	0.165055
2065	BMB-2065	BMB	0.090065	0.11649
2066	BMB-2066	BMB	0.073953	0.151622
2067	BMB-2067	BMB	0.040302	0.214063
2069	BMB-2069	BMB	0.092788	0.120431
2073	BMB-2073	BMB	0.072882	0.139219
2074	BMB-2074	BMB	0.072347	0.14635600000000001
2168	MI-2168	MI	0.094082	0.116218
2169	MI-2169	MI	0.090154	0.118415
2172	MI-2172	MI	0.085602	0.142132
2177	MI-2177	MI	0.099304	0.120163
2182	MI-2182	MI	0.039945	0.209753
2183	MI-2183	MI	0.071409	0.12655
2185	MI-2185	MI	0.066902	0.139427
2186	MI-2186	MI	0.054048	0.155272
2187	MI-2187	MI	0.03682	0.21607
2188	MI-2188	MI	0.031465	0.234229
2189	MI-2189	MI	0.058377	0.148734
2199	2199	WA	0.088458	0.150118
2201	2201	WA	0.065206	0.162425
2202	2202	WA	0.082746	0.177355
2770	2770	WA	0.050701	0.175411
2771	2771	WA	0.08163	0.115323
2772	2772	WA	0.084709	0.11615
2774	2774	WA	0.074891	0.12061
2778	2778	WA	0.085156	0.121524
2781	2781	WA	0.077256	0.120629
2782	2782	WA	0.081585	0.122169
2785	2785	WA	0.08038	0.120602
2790	2790	WA	0.079131	0.118596
2259	2259	GE	0.093591	0.110887
2263	2263	GE	0.09551	0.114033
2264	2264	GE	0.088503	0.121334
2265	2265	GE	0.087521	0.117095
2370	2370	GE	0.102562	0.10737
2372	2372	GE	0.088548	0.117716
2721	2721	GE	0.101669	0.107363
2946	2946	GE	0.097385	0.110512
2947	2947	GE	0.098411	0.108262
2950	2950	GE	0.091092	0.112546
2951	2951	GE	0.067527	0.132628
2952	2952	GE	0.088815	0.117408
2397	CS-2397	CS	0.088905	0.122857
2399	CS-2399	CS	0.054093	0.210343
2403	CS-2403	CS	0.084665	0.130772
2406	CS-2406	CS	0.061992	0.182709
2409	CS-2409	CS	0.051326	0.201825
2410	CS-2410	CS	0.10765	0.164199
2411	CS-2411	CS	0.048603	0.230802
2412	CS-2412	CS	0.066411	0.150636
2413	CS-2413	CS	0.097429	0.17579
2415	CS-2415	CS	0.061189	0.199287
2419	CS-2419	CS	0.096671000000000007	0.109239
2573	LS-2573	LS	0.097028	0.110913
2576	LS-2576	LS	0.08346	0.124123
2577	LS-2577	LS	0.050433	0.215172
2580	LS-2580	LS	0.086673	0.120846
2582	LS-2582	LS	0.076676	0.137036
2583	LS-2583	LS	0.086048	0.121496
2584	LS-2584	LS	0.088146	0.115755
2589	LS-2589	LS	0.09676	0.110386
2591	LS-2591	LS	0.086138	0.119994
2593	LS-2593	LS	0.05445	0.185547
2594	LS-2594	LS	0.088592	0.115273
2814	2814	Ma	0.095421	0.114762
2819	2819	Ma	0.088414	0.120979
2821	2821	Ma	0.095555	0.112312
2830	2830	Ma	0.084843	0.124457
2832	2832	Ma	0.088012	0.117451
2833	2833	Ma	0.086941	0.114821
2835	2835	Ma	0.054807	0.175323
2836	2836	Ma	0.082255	0.131985
2837	2837	Ma	0.071097	0.147504
2839	2839	Ma	0.081541	0.130716
2840	2840	Ma	0.068776	0.156578
3009	3009	VI	0.092252	0.114853
3016	3016	VI	0.086718	0.122025
3021	3021	VI	0.101892	0.109477
3302	3302	VI	0.104213	0.105276
3303	3303	VI	0.089128	0.116076
3304	3304	VI	0.092475	0.109669
3305	3305	VI	0.09435	0.110684
3306	3306	VI	0.092654	0.113674
3307	3307	VI	0.092654	0.108756
3308	3308	VI	0.071677	0.145817
3309	3309	VI	0.06766	0.129871
3310	3310	VI	0.049987	0.167105
3078	3078	BI	0.060787	0.194782
3079	3079	BI	0.078863	0.161636
3080	3080	BI	0.07623	0.138419
3081	3081	BI	0.095332	0.135915
3083	3083	BI	0.06293	0.173509
3084	3084	BI	0.064581	0.156973
3088	3088	BI	0.062037	0.182718
3089	3089	BI	0.064938	0.163095
3090	3090	BI	0.057395	0.178456
3092	3092	BI	0.049049	0.199277
3094	3094	BI	0.071052	0.152301
3096	3096	BI	0.065875	0.174439
3194	3194	AS	0.086182	0.114237
3195	3195	AS	0.082969	0.122646
3196	3196	AS	0.054494	0.180647
3199	3199	AS	0.07498	0.132635
3201	3201	AS	0.067437	0.150036
3202	3202	AS	0.04115	0.225749
3203	3203	AS	0.055878	0.178926
3205	3205	AS	0.08105	0.122778
3206	3206	AS	0.082701	0.125626
3211	3211	AS	0.074221	0.132093
3215	3215	AS	0.058779	0.172792
3220	3220	AS	0.078327	0.126774
3229	3229	HB	0.095912	0.101743
3230	3230	HB	0.088949	0.109293
3231	3231	HB	0.08886	0.104678
3232	3232	HB	0.093636	0.104195
3233	3233	HB	0.092922	0.106327
3234	3234	HB	0.091717	0.101567
3235	3235	HB	0.091717	0.10314
3236	3236	HB	0.101714	0.10389
3238	3238	HB	0.099036	0.107544
3239	3239	HB	0.098233	0.106459
3242	3242	HB	0.096671000000000007	0.103903
3244	3244	HB	0.100375	0.104331
3426	3426	BG	0.092118	0.113607
3427	3427	BG	0.068062	0.172118
3428	3428	BG	0.066857	0.15243
3429	3429	BG	0.069223	0.144378
3430	3430	BG	0.068375	0.144821
3431	3431	BG	0.072168	0.142624
3432	3432	BG	0.053334	0.199142
3433	3433	BG	0.063554	0.159804
3434	3434	BG	0.054271	0.179943
3435	3435	BG	0.06284	0.156205
3440	3440	BG	0.091672	0.1193
3441	3441	BG	0.070071	0.145613
3827	3827	CoP	0.095733	0.113321
3831	3831	CoP	0.088637	0.113124
3832	3832	CoP	0.079398	0.134872
3834	3834	CoP	0.071008	0.155032
3835	3835	CoP	0.083058	0.123631
3836	3836	CoP	0.064492	0.161061
3837	3837	CoP	0.096001	0.119872
3838	3838	CoP	0.07498	0.14822
3841	3841	CoP	0.071766	0.143571
3842	3842	CoP	0.066545000000000007	0.163232
3843	3843	CoP	0.077881	0.150235
3847	3847	CoP	0.088414	0.113733
DH01	DH01	DH	0.096894	0.107932
DH02	DH02	DH	0.194189	0.104237
DH07	DH07	DH	0.07797	0.133065
DH09	DH09	DH	0.083772	0.118613
DH10	DH10	DH	0.08703	0.119671
DH11	DH11	DH	0.081719	0.13531
DH13	DH13	DH	0.095778	0.113968
DH18	DH18	DH	0.049763	0.212061
DH20	DH20	DH	0.077256	0.130109
DH21	DH21	DH	0.075828	0.130053
DH22	DH22	DH	0.084977	0.123549
DH24	DH24	DH	0.084843	0.12397
HP01	HP01	HP	0.104169	0.118523
HP02	HP02	HP	0.091538	0.111373
HP03	HP03	HP	0.079086	0.116604
HP04	HP04	HP	0.091136	0.109163
HP05	HP05	HP	0.075828	0.121698
HP06	HP06	HP	0.05195	0.171359
HP07	HP07	HP	0.082121	0.119177
HP08	HP08	HP	0.090467	0.109966
HP09	HP09	HP	0.09069	0.114116
HP20	HP20	HP	0.09127	0.113354
HP21	HP21	HP	0.090779	0.11614
HP22	HP22	HP	0.086138	0.112815
JI01	JI01	JU	0.093457	0.113874
JI02	JI02	JU	0.096358	0.114437
JI03	JI03	JU	0.097117	0.114829
JI04	JI04	JU	0.089708	0.116591
JI05	JI05	JU	0.090199	0.124013
JI06	JI06	JU	0.098456	0.112277
JI07	JI07	JU	0.099304	0.111392
JI08	JI08	JU	0.092431	0.116843
JI09	JI09	JU	0.084888	0.122757
JI10	JI10	JU	0.084174	0.122758
JI11	JI11	JU	0.081541	0.125419
