MAC	MAF	WHITELISTED_MARKERS	BLACKLISTED_MARKERS
1	0.0027	22384	0
2	0.0055	19875	2509
3	0.0082	17799	4585
4	0.0109	16748	5636
5	0.0137	15804	6580
6	0.0164	15123	7261
7	0.0191	14555	7829
8	0.0219	14092	8292
9	0.0246	13590	8794
10	0.0273	13141	9243
11	0.0301	12673	9711
12	0.0328	12256	10128
13	0.0355	11850	10534
14	0.0383	11451	10933
15	0.0410	11101	11283
16	0.0437	10777	11607
17	0.0464	10487	11897
18	0.0492	10229	12155
19	0.0519	9981	12403
20	0.0546	9718	12666
21	0.0574	9480	12904
22	0.0601	9251	13133
23	0.0628	9045	13339
24	0.0656	8830	13554
25	0.0683	8654	13730
26	0.0710	8477	13907
27	0.0738	8310	14074
28	0.0765	8143	14241
29	0.0792	7950	14434
30	0.0820	7779	14605
31	0.0847	7622	14762
32	0.0874	7485	14899
33	0.0902	7327	15057
34	0.0929	7181	15203
35	0.0956	7042	15342
36	0.0984	6915	15469
37	0.1011	6777	15607
38	0.1038	6670	15714
39	0.1066	6562	15822
40	0.1093	6439	15945
41	0.1120	6353	16031
42	0.1148	6255	16129
43	0.1175	6136	16248
44	0.1202	6028	16356
45	0.1230	5939	16445
46	0.1257	5836	16548
47	0.1284	5754	16630
48	0.1311	5664	16720
49	0.1339	5574	16810
50	0.1366	5479	16905
51	0.1393	5396	16988
52	0.1421	5316	17068
53	0.1448	5239	17145
54	0.1475	5159	17225
55	0.1503	5085	17299
56	0.1530	5018	17366
57	0.1557	4949	17435
58	0.1585	4886	17498
59	0.1612	4811	17573
60	0.1639	4741	17643
61	0.1667	4657	17727
62	0.1694	4589	17795
63	0.1721	4519	17865
64	0.1749	4436	17948
65	0.1776	4373	18011
66	0.1803	4312	18072
67	0.1831	4253	18131
68	0.1858	4193	18191
69	0.1885	4125	18259
70	0.1913	4065	18319
71	0.1940	4005	18379
72	0.1967	3936	18448
73	0.1995	3878	18506
74	0.2022	3817	18567
