TARGET_ID	INDIVIDUALS	STRATA	MISSING_PROP	HETEROZYGOSITY
2048	BMB-2048	BMB	0.031611	0.155973
2055	BMB-2055	BMB	0.024894	0.171816
2059	BMB-2059	BMB	0.01867	0.221764
2065	BMB-2065	BMB	0.032401	0.159367
2066	BMB-2066	BMB	0.028746	0.208198
2067	BMB-2067	BMB	0.009286	0.29325
2069	BMB-2069	BMB	0.035069	0.161855
2073	BMB-2073	BMB	0.022227	0.193574
2074	BMB-2074	BMB	0.022227	0.200748
2168	MI-2168	MI	0.03092	0.16208
2169	MI-2169	MI	0.032797	0.161066
2172	MI-2172	MI	0.03497	0.193879
2177	MI-2177	MI	0.043861	0.166753
2182	MI-2182	MI	0.007903	0.289654
2183	MI-2183	MI	0.019955	0.176998
2185	MI-2185	MI	0.022424	0.191593
2186	MI-2186	MI	0.013929	0.211581
2187	MI-2187	MI	0.008002	0.291277
2188	MI-2188	MI	0.005532	0.314791
2189	MI-2189	MI	0.015806	0.200642
2199	2199	WA	0.038032	0.203533
2201	2201	WA	0.023116	0.217919
2202	2202	WA	0.041687	0.237811
2770	2770	WA	0.012052	0.240876
2771	2771	WA	0.027067	0.15433
2772	2772	WA	0.02687	0.161608
2774	2774	WA	0.021041	0.162765
2778	2778	WA	0.028746	0.164768
2781	2781	WA	0.023017	0.165116
2782	2782	WA	0.025585	0.171736
2785	2785	WA	0.024696	0.164894
2790	2790	WA	0.024993	0.162715
2259	2259	GE	0.032599	0.149597
2263	2263	GE	0.033587	0.154963
2264	2264	GE	0.028252	0.168039
2265	2265	GE	0.030722	0.162454
2370	2370	GE	0.041687	0.146892
2372	2372	GE	0.030821	0.163388
2721	2721	GE	0.033488	0.1435
2946	2946	GE	0.037736	0.15214
2947	2947	GE	0.037242	0.145701
2950	2950	GE	0.028746	0.152766
2951	2951	GE	0.019658	0.183495
2952	2952	GE	0.031611	0.164745
2397	CS-2397	CS	0.029635	0.167464
2399	CS-2399	CS	0.019263	0.284045
2403	CS-2403	CS	0.030228	0.175919
2406	CS-2406	CS	0.022918	0.245273
2409	CS-2409	CS	0.011558	0.273736
2410	CS-2410	CS	0.064902	0.221635
2411	CS-2411	CS	0.01867	0.314375
2412	CS-2412	CS	0.019658	0.206872
2413	CS-2413	CS	0.057098	0.241069
2415	CS-2415	CS	0.026376	0.272119
2419	CS-2419	CS	0.036847	0.149436
2573	LS-2573	LS	0.035859	0.15041
2576	LS-2576	LS	0.027956	0.171341
2577	LS-2577	LS	0.0163	0.290922
2580	LS-2580	LS	0.031117	0.167108
2582	LS-2582	LS	0.024005	0.188057
2583	LS-2583	LS	0.029043	0.167667
2584	LS-2584	LS	0.028845	0.159801
2589	LS-2589	LS	0.03655	0.153901
2591	LS-2591	LS	0.031315	0.166123
2593	LS-2593	LS	0.014818	0.253184
2594	LS-2594	LS	0.029339	0.161307
2814	2814	Ma	0.034575	0.155838
2819	2819	Ma	0.031809	0.165289
2821	2821	Ma	0.033587	0.155269
2830	2830	Ma	0.031809	0.169575
2832	2832	Ma	0.029142	0.15873
2833	2833	Ma	0.030129	0.156244
2835	2835	Ma	0.018176	0.243385
2836	2836	Ma	0.031216	0.183644
2837	2837	Ma	0.02193	0.201596
2839	2839	Ma	0.028648	0.179599
2840	2840	Ma	0.023017	0.214257
