POP_ID	MARKERS_TOTAL	MONOMORPHIC	HWE	HWD*	HWD**	HWD***	HWD****	HWD*****
MI	10123	3229	6513	381	83	1	0	0
WA	10123	3077	6538	508	104	10	0	0
GE	10123	3386	6070	667	132	17	0	0
CS	10123	3132	6542	449	102	2	0	0
LS	10123	3251	6408	464	82	3	0	0
Ma	10123	3406	6238	479	100	7	0	0
VI	10123	3302	6222	599	108	5	0	0
BI	10123	2964	6471	688	146	2	0	0
AS	10123	3277	6317	529	103	4	0	0
HB	10123	3739	5761	623	132	17	0	0
BG	10123	3199	6364	560	105	6	0	0
CoP	10123	3164	6392	567	119	16	0	0
DH	10123	3443	6239	441	64	4	0	0
HP	10123	3247	6269	607	123	15	0	0
JU	10123	3419	6131	573	131	10	0	0
OVERALL	10123	3	6822	3298	2362	1477	1021	1021
