TARGET_ID	INDIVIDUALS	STRATA
2048	BMB-2048	BMB
2055	BMB-2055	BMB
2059	BMB-2059	BMB
2065	BMB-2065	BMB
2066	BMB-2066	BMB
2067	BMB-2067	BMB
2069	BMB-2069	BMB
2073	BMB-2073	BMB
2074	BMB-2074	BMB
2168	MI-2168	MI
2169	MI-2169	MI
2172	MI-2172	MI
2177	MI-2177	MI
2182	MI-2182	MI
2183	MI-2183	MI
2185	MI-2185	MI
2186	MI-2186	MI
2187	MI-2187	MI
2188	MI-2188	MI
2189	MI-2189	MI
2199	2199	WA
2201	2201	WA
2202	2202	WA
2770	2770	WA
2771	2771	WA
2772	2772	WA
2774	2774	WA
2778	2778	WA
2781	2781	WA
2782	2782	WA
2785	2785	WA
2790	2790	WA
2259	2259	GE
2263	2263	GE
2264	2264	GE
2265	2265	GE
2370	2370	GE
2372	2372	GE
2721	2721	GE
2946	2946	GE
2947	2947	GE
2950	2950	GE
2951	2951	GE
2952	2952	GE
2397	CS-2397	CS
2399	CS-2399	CS
2403	CS-2403	CS
2406	CS-2406	CS
2409	CS-2409	CS
2410	CS-2410	CS
2411	CS-2411	CS
2412	CS-2412	CS
2413	CS-2413	CS
2415	CS-2415	CS
2419	CS-2419	CS
2573	LS-2573	LS
2576	LS-2576	LS
2577	LS-2577	LS
2580	LS-2580	LS
2582	LS-2582	LS
2583	LS-2583	LS
2584	LS-2584	LS
2589	LS-2589	LS
2591	LS-2591	LS
2593	LS-2593	LS
2594	LS-2594	LS
2814	2814	Ma
2819	2819	Ma
2821	2821	Ma
2830	2830	Ma
2832	2832	Ma
2833	2833	Ma
2835	2835	Ma
2836	2836	Ma
2837	2837	Ma
2839	2839	Ma
2840	2840	Ma
3009	3009	VI
3016	3016	VI
3021	3021	VI
3302	3302	VI
3303	3303	VI
3304	3304	VI
3305	3305	VI
3306	3306	VI
3307	3307	VI
3308	3308	VI
3309	3309	VI
3310	3310	VI
3078	3078	BI
3079	3079	BI
3080	3080	BI
3081	3081	BI
3083	3083	BI
3084	3084	BI
3088	3088	BI
3089	3089	BI
3090	3090	BI
3092	3092	BI
3094	3094	BI
3096	3096	BI
3194	3194	AS
3195	3195	AS
3196	3196	AS
3199	3199	AS
3201	3201	AS
3202	3202	AS
3203	3203	AS
3205	3205	AS
3206	3206	AS
3211	3211	AS
3215	3215	AS
3220	3220	AS
3229	3229	HB
3230	3230	HB
3231	3231	HB
3232	3232	HB
3233	3233	HB
3234	3234	HB
3235	3235	HB
3236	3236	HB
3238	3238	HB
3239	3239	HB
3242	3242	HB
3244	3244	HB
3426	3426	BG
3427	3427	BG
3428	3428	BG
3429	3429	BG
3430	3430	BG
3431	3431	BG
3432	3432	BG
3433	3433	BG
3434	3434	BG
3435	3435	BG
3440	3440	BG
3441	3441	BG
3827	3827	CoP
3831	3831	CoP
3832	3832	CoP
3834	3834	CoP
3835	3835	CoP
3836	3836	CoP
3837	3837	CoP
3838	3838	CoP
3841	3841	CoP
3842	3842	CoP
3843	3843	CoP
3847	3847	CoP
DH01	DH01	DH
DH07	DH07	DH
DH09	DH09	DH
DH10	DH10	DH
DH11	DH11	DH
DH18	DH18	DH
DH20	DH20	DH
DH21	DH21	DH
DH22	DH22	DH
DH24	DH24	DH
HP01	HP01	HP
HP02	HP02	HP
HP03	HP03	HP
HP04	HP04	HP
HP05	HP05	HP
HP06	HP06	HP
HP07	HP07	HP
HP08	HP08	HP
HP09	HP09	HP
HP20	HP20	HP
HP21	HP21	HP
HP22	HP22	HP
JI01	JI01	JU
JI02	JI02	JU
JI03	JI03	JU
JI04	JI04	JU
JI05	JI05	JU
JI06	JI06	JU
JI07	JI07	JU
JI08	JI08	JU
JI09	JI09	JU
JI10	JI10	JU
JI11	JI11	JU
